iter	Logloss
0	0.5417893989
1	0.4683400044
2	0.4051138011
3	0.3648945622
4	0.3378928137
5	0.3113549625
6	0.2943664633
7	0.2793713984
8	0.2699663914
9	0.26395226
10	0.2597109024
11	0.2509841417
12	0.243764135
13	0.23708797
14	0.2345574684
15	0.2310309893
16	0.2297316407
17	0.2262846677
18	0.2238026311
19	0.2222171251
20	0.2221505768
21	0.21926596
22	0.2177345982
23	0.2166057723
24	0.2147361391
25	0.2138432339
26	0.212671488
27	0.2116758901
28	0.2100707412
29	0.2085755215
30	0.2078784473
31	0.2066133047
32	0.2061687692
33	0.2052491264
34	0.2046191612
35	0.2040989631
36	0.2036457164
37	0.2032400134
38	0.202975818
39	0.202569851
40	0.2020034907
41	0.2015508683
42	0.2014884687
43	0.2011179959
44	0.2000564754
45	0.1997665934
46	0.1996380072
47	0.1992195714
48	0.1988280746
49	0.1986577457
50	0.1982157992
51	0.1977949931
52	0.1974341596
53	0.1967711287
54	0.1964211366
55	0.1961063852
56	0.195879311
57	0.1956538121
58	0.1954603101
59	0.1952501242
60	0.1950354896
61	0.1947724374
62	0.1945264945
63	0.1943500318
64	0.1940363676
65	0.193668169
66	0.1933438196
67	0.1930030041
68	0.192708438
69	0.1926651484
70	0.1924392282
71	0.1922598246
72	0.1917697436
73	0.1915198556
74	0.1911740529
75	0.1909569297
76	0.1907675148
77	0.1906338932
78	0.1903654441
79	0.1901473404
80	0.1900753811
81	0.1899495419
82	0.1897421461
83	0.1896096568
84	0.1894527754
85	0.1894135902
86	0.189154609
87	0.1889974376
88	0.1888836986
89	0.1887404757
90	0.1886472274
91	0.1885836343
92	0.1884952826
93	0.1884467247
94	0.1883105751
95	0.1882041412
96	0.1881264746
97	0.1879290782
98	0.1878178034
99	0.1877584652
100	0.1876052548
101	0.1875228183
102	0.187374092
103	0.187222163
104	0.1871184511
105	0.1870545008
106	0.1870040545
107	0.1869444023
108	0.18687944
109	0.1868555146
110	0.1867850548
111	0.1867148349
112	0.1866828212
113	0.1865849394
114	0.1865379432
115	0.1864910682
116	0.1864429942
117	0.1863975368
118	0.1863597635
119	0.186318865
120	0.1862939034
121	0.1862645358
122	0.1862359032
123	0.1861861744
124	0.1861300824
125	0.1861004642
126	0.1860723801
127	0.1860353347
128	0.1860007465
129	0.1859694545
130	0.1859406128
131	0.1859168027
132	0.1858926181
133	0.1858584114
134	0.1858332453
135	0.1857967447
136	0.1857767295
137	0.1857485668
138	0.1857028424
139	0.1856794039
140	0.1856473557
141	0.1856239513
142	0.1855936935
143	0.1855699043
144	0.18554632
145	0.1855131188
146	0.1854890526
147	0.1854647291
148	0.1854285137
149	0.1854078927
150	0.1853805231
151	0.1853648252
152	0.1853476452
153	0.1853066768
154	0.1852870668
155	0.1852712908
156	0.1852529193
157	0.1852418277
158	0.18523062
159	0.1852216491
160	0.185205646
161	0.185170977
162	0.1851570838
163	0.1851457793
164	0.1851305095
165	0.1851026064
166	0.1850876335
167	0.1850778071
168	0.1850595657
169	0.1850343025
170	0.1850089417
171	0.1849825131
172	0.1849598065
173	0.1849304638
174	0.1849197814
175	0.1848906864
176	0.1848676764
177	0.1848354573
178	0.1848202743
179	0.1848055654
180	0.1847885965
181	0.1847710543
182	0.1847534552
183	0.1847302898
184	0.1847183709
185	0.1846989463
186	0.1846868157
187	0.1846867607
188	0.1846792799
189	0.184672619
190	0.1846640065
191	0.1846590896
192	0.1846488721
193	0.1846445956
194	0.1846314826
195	0.184623132
196	0.1846077181
197	0.1845887153
198	0.1845800659
199	0.1845758817
200	0.1845607801
201	0.1845394554
202	0.1845395418
203	0.184520251
204	0.1845202806
205	0.1845137286
206	0.1845135258
207	0.1845034279
208	0.184486689
209	0.1844732211
210	0.1844633321
211	0.1844554864
212	0.1844432893
213	0.184429912
214	0.1844116514
215	0.1844043476
216	0.1843949326
217	0.1843908658
218	0.1843793404
219	0.1843676848
220	0.1843674551
221	0.1843574707
222	0.1843545235
223	0.1843457423
224	0.1843257241
225	0.1843166687
226	0.1843087996
227	0.1843059541
228	0.1843038929
229	0.1842900449
230	0.1842878252
231	0.1842844484
232	0.1842843309
233	0.184282671
234	0.1842828686
235	0.1842667709
236	0.184266844
237	0.1842629954
238	0.1842629936
239	0.1842629936
240	0.1842630165
241	0.1842630165
242	0.1842630165
243	0.1842505761
244	0.184241882
245	0.184241755
246	0.1842417938
247	0.1842418205
248	0.1842418205
249	0.184234978
